         10473134 function calls (10377090 primitive calls) in 10.609 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      900    0.004    0.000    0.075    0.000 ansitowin32.py:81(__init__)
       59    0.000    0.000    0.001    0.000 array_analysis.py:1027(_get_shape)
        9    0.000    0.000    0.000    0.000 array_analysis.py:1086(__init__)
       42    0.000    0.000    0.000    0.000 array_analysis.py:1103(get_equiv_set)
      8/6    0.000    0.000    0.010    0.002 array_analysis.py:1120(run)
      8/6    0.000    0.000    0.008    0.001 array_analysis.py:1170(_run_on_blocks)
       29    0.000    0.000    0.000    0.000 array_analysis.py:1181(_combine_to_new_block)
    29/22    0.000    0.000    0.008    0.000 array_analysis.py:1194(_determine_transform)
        8    0.000    0.000    0.000    0.000 array_analysis.py:1267(_define)
        6    0.000    0.000    0.000    0.000 array_analysis.py:1274(__init__)
  156/124    0.000    0.000    0.006    0.000 array_analysis.py:1277(_analyze_inst)
